"name","version","license","ecosystem","source"
"Atkinson Hyperlegible font files","5.3.0","OFL-1.1","asset","https://github.com/googlefonts/atkinson-hyperlegible"
"M PLUS Rounded 1c font files","5.3.0","OFL-1.1","asset","https://github.com/coz-m/MPLUS_FONTS"
"Nyanbin favicon","sha256:4a485348be25731ba3dbde9e7d830a4e6c5a22df0fdf33396b5d1a5ab503c1f9","MIT","asset","packages/frontend/static/favicon.svg"
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0","cargo","https://crates.io/crates/adler2/2.0.1"
"alloc-no-stdlib","2.0.4","BSD-3-Clause","cargo","https://crates.io/crates/alloc-no-stdlib/2.0.4"
"alloc-stdlib","0.2.4","BSD-3-Clause","cargo","https://crates.io/crates/alloc-stdlib/0.2.4"
"arc-swap","1.9.2","MIT OR Apache-2.0","cargo","https://crates.io/crates/arc-swap/1.9.2"
"arcstr","1.2.0","Apache-2.0 OR MIT OR Zlib","cargo","https://crates.io/crates/arcstr/1.2.0"
"async-compression","0.4.43","MIT OR Apache-2.0","cargo","https://crates.io/crates/async-compression/0.4.43"
"async-lock","3.4.2","Apache-2.0 OR MIT","cargo","https://crates.io/crates/async-lock/3.4.2"
"atomic-waker","1.1.2","Apache-2.0 OR MIT","cargo","https://crates.io/crates/atomic-waker/1.1.2"
"axum","0.8.9","MIT","cargo","https://crates.io/crates/axum/0.8.9"
"axum-core","0.5.6","MIT","cargo","https://crates.io/crates/axum-core/0.5.6"
"backon","1.6.0","Apache-2.0","cargo","https://crates.io/crates/backon/1.6.0"
"base64","0.22.1","MIT OR Apache-2.0","cargo","https://crates.io/crates/base64/0.22.1"
"bitflags","2.13.1","MIT OR Apache-2.0","cargo","https://crates.io/crates/bitflags/2.13.1"
"block-buffer","0.10.4","MIT OR Apache-2.0","cargo","https://crates.io/crates/block-buffer/0.10.4"
"brotli","8.0.4","BSD-3-Clause AND MIT","cargo","https://crates.io/crates/brotli/8.0.4"
"brotli-decompressor","5.0.3","BSD-3-Clause/MIT","cargo","https://crates.io/crates/brotli-decompressor/5.0.3"
"bytes","1.12.1","MIT","cargo","https://crates.io/crates/bytes/1.12.1"
"cfg-if","1.0.4","MIT OR Apache-2.0","cargo","https://crates.io/crates/cfg-if/1.0.4"
"combine","4.6.7","MIT","cargo","https://crates.io/crates/combine/4.6.7"
"compression-codecs","0.4.38","MIT OR Apache-2.0","cargo","https://crates.io/crates/compression-codecs/0.4.38"
"compression-core","0.4.32","MIT OR Apache-2.0","cargo","https://crates.io/crates/compression-core/0.4.32"
"cpufeatures","0.2.17","MIT OR Apache-2.0","cargo","https://crates.io/crates/cpufeatures/0.2.17"
"crc32fast","1.5.0","MIT OR Apache-2.0","cargo","https://crates.io/crates/crc32fast/1.5.0"
"crypto-common","0.1.7","MIT OR Apache-2.0","cargo","https://crates.io/crates/crypto-common/0.1.7"
"digest","0.10.7","MIT OR Apache-2.0","cargo","https://crates.io/crates/digest/0.10.7"
"displaydoc","0.2.7","MIT OR Apache-2.0","cargo","https://crates.io/crates/displaydoc/0.2.7"
"event-listener","5.4.2","Apache-2.0 OR MIT","cargo","https://crates.io/crates/event-listener/5.4.2"
"event-listener-strategy","0.5.4","Apache-2.0 OR MIT","cargo","https://crates.io/crates/event-listener-strategy/0.5.4"
"fastrand","2.5.0","Apache-2.0 OR MIT","cargo","https://crates.io/crates/fastrand/2.5.0"
"flate2","1.1.9","MIT OR Apache-2.0","cargo","https://crates.io/crates/flate2/1.1.9"
"foreign-types","0.3.2","MIT/Apache-2.0","cargo","https://crates.io/crates/foreign-types/0.3.2"
"foreign-types-shared","0.1.1","MIT/Apache-2.0","cargo","https://crates.io/crates/foreign-types-shared/0.1.1"
"form_urlencoded","1.2.2","MIT OR Apache-2.0","cargo","https://crates.io/crates/form_urlencoded/1.2.2"
"futures-channel","0.3.34","MIT OR Apache-2.0","cargo","https://crates.io/crates/futures-channel/0.3.34"
"futures-core","0.3.34","MIT OR Apache-2.0","cargo","https://crates.io/crates/futures-core/0.3.34"
"futures-sink","0.3.34","MIT OR Apache-2.0","cargo","https://crates.io/crates/futures-sink/0.3.34"
"futures-task","0.3.34","MIT OR Apache-2.0","cargo","https://crates.io/crates/futures-task/0.3.34"
"futures-util","0.3.34","MIT OR Apache-2.0","cargo","https://crates.io/crates/futures-util/0.3.34"
"generic-array","0.14.7","MIT","cargo","https://crates.io/crates/generic-array/0.14.7"
"getrandom","0.2.17","MIT OR Apache-2.0","cargo","https://crates.io/crates/getrandom/0.2.17"
"http","1.5.0","MIT OR Apache-2.0","cargo","https://crates.io/crates/http/1.5.0"
"http-body","1.1.0","MIT","cargo","https://crates.io/crates/http-body/1.1.0"
"http-body-util","0.1.5","MIT","cargo","https://crates.io/crates/http-body-util/0.1.5"
